job title,company name,location name
Senior Full Stack React/ Python (Django) Developer - Remote,GetTechForce.com -,"Cairo, Egypt "
Senior Python Developer,Human Quality -,"Maadi, Cairo, Egypt "
Python Developer,Advanced Solutions Co. -,"Heliopolis, Cairo, Egypt "
Full Stack Python Developer,DBS -,"Maadi, Cairo, Egypt "
Python Developer,RTX for Shipping -,"Cairo, Egypt "
Junior Python Developer (Remote Internship – IT),TALENTKOMPASS deutschland -,"Alexandria, Egypt "
Python Developer,Multi Level Group (MLG) -,"Maadi, Cairo, Egypt "
Python Automation Engineer,Expleo -,"Cairo, Egypt "
Python Developer,Sceel.io -,"Maadi, Cairo, Egypt "
Full stack python web developer,Micro Engineering -,"Heliopolis, Cairo, Egypt "
Senior Odoo Developer - (Onsite),Confidential -,"Nasr City, Cairo, Egypt "
"Jira Cloud Admin ""Fluent English Speakers Only""",FlairsTech -,"Cairo, Egypt "
Senior Full Stack Developer,Filkhedma -,"New Cairo, Cairo, Egypt "
Senior AI engineer,eT3 - Tomorrow Information Technology -,"Cairo, Egypt "
Senior Data Engineer,FlairsTech -,"Cairo, Egypt "
